LOINC #,Long Common Name,Short Name,CLASS,Rank
6090-5,Cottonwood IgE Ab [Units/volume] in Serum,Cottonwood IgE Qn,Allergy,1943
30192-9,Acetylcholine receptor modulation Ab/Acetylcholine Ab.total in Serum,AChR Mod Ab/AChR Total SFr Ser,SERO,1944
6287-7,Baker's yeast IgE Ab [Units/volume] in Serum,Baker's yeast IgE Qn,Allergy,1945
6349-5,Chlamydia trachomatis [Presence] in Unspecified specimen by Organism specific culture,C trach XXX Ql Cult,MICRO,1946
4635-9,Free Hemoglobin [Mass/volume] in Serum,Hgb Free Ser-mCnc,HEM/BC,1947
46128-5,Tissue transglutaminase IgA Ab [Units/volume] in Serum by Immunoassay,tTG IgA Ser IA-aCnc,SERO,1948
2711-0,Oxygen saturation (SO2) in Venous blood,SaO2 % BldV,HEMODYN.MOLEC,1949
7797-4,Rouleaux [Presence] in Blood by Light microscopy,Rouleaux Bld Ql Smear,HEM/BC,1950
8277-6,Body surface area,BSA,BDYSURF.ATOM,1951
765-8,Neutrophils.hypersegmented [Presence] in Blood by Light microscopy,Neuts Hyperseg Bld Ql Smear,HEM/BC,1952
1926-5,Base excess in Capillary blood,Base excess BldC Calc-sCnc,Chem,1953
7795-8,Pappenheimer bodies [Presence] in Blood by Light microscopy,Pappenheimer Bod Bld Ql Smear,HEM/BC,1954
20456-0,Fungi.yeastlike [Presence] in Urine sediment by Light microscopy,Yeast Like Fungi UrnS Ql Micro,UA,1955
2716-9,Fractional oxyhemoglobin (HbO2) in Venous blood,OxyHgb MFr BldV,Chem,1956
5819-8,Waxy casts [#/area] in Urine sediment by Microscopy low power field,Waxy Casts #/area UrnS LPF,UA,1957
5807-3,RBC casts [#/area] in Urine sediment by Microscopy low power field,RBC Casts #/area UrnS LPF,UA,1958
38995-7,Mixed cellular casts [#/area] in Urine sediment by Microscopy low power field,Mixed Cell Casts #/area UrnS LPF,UA,1959
46138-4,Urate crystals [#/area] in Urine sediment by Microscopy high power field,Urate Cry #/area UrnS HPF,UA,1960
5335-5,Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay,RUBV IgM Ser IA-aCnc,MICRO,1961
25154-6,Unidentified crystals [#/area] in Urine sediment by Microscopy high power field,Unident Crys #/area UrnS HPF,UA,1962
33215-5,Neutrophils.agranular [Presence] in Blood by Light microscopy,Agran Neuts Bld Ql Smear,HEM/BC,1963
5788-5,Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field,Oval fat bodies #/area UrnS HPF,UA,1964
2272-3,Fat [Presence] in Urine,Fat Ur Ql,Chem,1965
10380-4,Stomatocytes [Presence] in Blood by Light microscopy,Stomatocytes Bld Ql Smear,HEM/BC,1966
7817-0,Borrelia burgdorferi IgG Ab [Units/volume] in Serum,B burgdor IgG Ser-aCnc,MICRO,1967
5062-5,Borrelia burgdorferi IgG Ab [Units/volume] in Serum by Immunoassay,B burgdor IgG Ser IA-aCnc,MICRO,1968
5786-9,Epithelial casts [#/area] in Urine sediment by Microscopy low power field,Epith Casts #/area UrnS LPF,UA,1969
33216-3,Platelets agranular [Presence] in Blood by Light microscopy,Agran Platelets Bld Ql Smear,HEM/BC,1970
18311-1,Pelger Huet cells [Presence] in Blood by Light microscopy,Pelger Huet Cells Bld Ql Smear,HEM/BC,1971
11281-3,Auer rods [Presence] in Blood by Light microscopy,Auer Bodies Bld Ql Smear,HEM/BC,1972
30003-8,Microalbumin [Mass/volume] in 24 hour Urine,Microalbumin 24h Ur-mCnc,Chem,1973
5784-4,Cystine crystals [Presence] in Urine sediment by Light microscopy,Cystine Cry UrnS Ql Micro,UA,1974
5775-2,Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy,Ca Phos Cry UrnS Ql Micro,UA,1975
5789-3,Fatty casts [#/area] in Urine sediment by Microscopy low power field,Fatty Casts #/area UrnS LPF,UA,1976
5773-7,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy,Ca Carbonate Cry UrnS Ql Micro,UA,1977
20624-3,Creatinine [Mass/volume] in 24 hour Urine,Creat 24h Ur-mCnc,Chem,1978
14958-3,Microalbumin/Creatinine [Mass ratio] in 24 hour Urine,Microalbumin/Creat 24h Ur,Chem,1979
33647-9,Protein.monoclonal/Protein.total in Serum or Plasma by Electrophoresis,M Protein MFr SerPl Elph,Chem,1980
716-1,Heinz bodies [Presence] in Blood by Light microscopy,Heinz Bod Bld Ql Smear,HEM/BC,1981
5798-4,Leucine crystals [Presence] in Urine sediment by Light microscopy,Leucine Cry UrnS Ql Micro,UA,1982
2027-1,"Carbon dioxide, total [Moles/volume] in Venous blood",CO2 BldV-sCnc,Chem,1983
5815-6,Tyrosine crystals [Presence] in Urine sediment by Light microscopy,Tyrosine Cry UrnS Ql Micro,UA,1984
5766-1,Ammonium urate crystals [Presence] in Urine sediment by Light microscopy,Amm Urate Cry UrnS Ql Micro,UA,1985
30350-3,Hemoglobin [Mass/volume] in Venous blood,Hgb BldV-mCnc,HEM/BC,1986
27200-5,Nuclear Ab [Units/volume] in Serum,ANA Ser-aCnc,SERO,1987
25149-6,Calcium phosphate crystals [#/area] in Urine sediment by Microscopy high power field,Ca Phos Cry #/area UrnS HPF,UA,1988
25158-7,Oval fat bodies (globules) [Presence] in Urine sediment by Light microscopy,Oval fat bodies UrnS Ql Micro,UA,1989
18487-9,Broad casts [#/area] in Urine sediment by Microscopy low power field,Broad Casts #/area UrnS LPF,UA,1990
24015-0,Influenza virus A+B Ag [Presence] in Unspecified specimen,FLUAV+FLUBV Ag XXX Ql,MICRO,1991
6437-8,Influenza virus A+B Ag [Presence] in Unspecified specimen by Immunoassay,FLUAV+FLUBV Ag XXX Ql IA,MICRO,1992
20457-8,Fungi.filamentous [Presence] in Urine sediment by Light microscopy,Filament Fungi UrnS Ql Micro,UA,1993
5812-3,Sulfonamide crystals [Presence] in Urine sediment by Light microscopy,Sulfonamide cry UrnS Ql Micro,UA,1994
5771-1,Bilirubin crystals [Presence] in Urine sediment by Light microscopy,Bilirub Cry UrnS Ql Micro,UA,1995
25147-0,Calcium carbonate crystals [#/area] in Urine sediment by Microscopy high power field,Ca Carbonate Cry #/area UrnS HPF,UA,1996
40729-6,Herpes simplex virus IgM Ab [Presence] in Serum by Immunoassay,HSV IgM Ser Ql IA,MICRO,1997
53835-5,"1,5-Anhydroglucitol [Mass/volume] in Serum or Plasma","1,5-Anhydroglucitol SerPl-mCnc",Chem,1998
5777-8,Cholesterol crystals [Presence] in Urine sediment by Light microscopy,Cholest Cry UrnS Ql Micro,UA,1999
20455-2,Leukocytes [Presence] in Urine sediment by Light microscopy,WBC UrnS Ql Micro,UA,2000
33905-1,Trichomonas sp [#/area] in Urine sediment by Microscopy high power field,Trichomonas #/area UrnS HPF,UA,2001
45068-4,Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Presence] in Cervix by Probe and target amplification method,C trach+GC DNA Cvx Ql PCR,MICRO,2001
30394-1,Granulocytes [#/volume] in Blood,Granulocytes # Bld,HEM/BC,2002
5795-0,Hippurate crystals [Presence] in Urine sediment by Light microscopy,Hippurate Cry UrnS Ql Micro,UA,2003
18312-9,Platelet satellitism [Presence] in Blood by Light microscopy,Platelet Satel Bld Ql Smear,HEM/BC,2004
5776-0,Calcium sulfate crystals [Presence] in Urine sediment by Light microscopy,Ca Sulfate Cry UrnS Ql Micro,UA,2005
27071-0,CD45 cells [#/volume] in Blood,CD45 Cells # Bld,CELLMARK,2006
11043-7,Cryofibrinogen [Presence] in Plasma,Cryofib Plas Ql,Chem,2007
32033-3,Phosphatidylserine IgM Ab [Units/volume] in Serum by Immunoassay,PS IgM Ser IA-aCnc,COAG,2008
20578-1,Vancomycin [Mass/volume] in Serum or Plasma,Vancomycin SerPl-mCnc,DRUG/TOX,2009
33256-9,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,WBC nRBC cor # Bld Auto,HEM/BC,2010
708-8,Blasts [#/volume] in Blood by Manual count,Blasts # Bld Manual,HEM/BC,2011
18309-5,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Manual count,nRBC/100 WBC Bld Manual-Rto,HEM/BC,2012
5156-5,Epstein Barr virus nuclear IgG Ab [Presence] in Serum by Immunoassay,EBV NA IgG Ser Ql IA,MICRO,2013
51928-0,Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum by Immunoassay,ENA RNP Ab Ser IA-aCnc,SERO,2014
33569-5,Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum by Immunoassay,ENA SS-A Ab Ser IA-aCnc,SERO,2015
45142-7,Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum by Immunoassay,ENA SS-B Ab Ser IA-aCnc,SERO,2016
43182-5,Smith extractable nuclear Ab [Units/volume] in Serum by Immunoassay,ENA SM Ab Ser IA-aCnc,SERO,2017
53151-7,Valine/Phenylalanine [Molar ratio] in Dried blood spot,Valine/Phe DBS-sRto,Chem,3000
47799-2,Valine [Moles/volume] in Dried blood spot,Valine DBS-sCnc,Chem,3000
53159-0,Tryptophan [Moles/volume] in Dried blood spot,Tryptophan DBS-sCnc,Chem,3000
48633-2,Trypsinogen I Free [Mass/volume] in Dried blood spot,Trypsinogen I Free DBS-mCnc,Chem,3000
29575-8,Thyrotropin [Units/volume] in Dried blood spot,TSH DBS-aCnc,Chem,3000
68325-0,Thrombin time actual/?Normal,Thrombin time/normal,COAG,3000
47784-4,Threonine [Moles/volume] in Dried blood spot,Threonine DBS-sCnc,Chem,3000
64119-1,Third most predominant hemoglobin in Dried blood spot,3rd most predominant Hb DBS,Chem,3000
70159-9,Tetradecenoylcarnitine (C14:1)/Tetradecanoylcarnitine (C14) [Molar ratio] in Dried blood spot,Tdecenoylcarn/C14 DBS-sRto,Chem,3000
53195-4,Tetradecenoylcarnitine (C14:1)/Palmitoylcarnitine (C16) [Molar ratio] in Dried blood spot,Tdecenoylcarn/C16 DBS-sRto,Chem,3000
53194-7,Tetradecenoylcarnitine (C14:1)/Dodecenoylcarnitine (C12:1) [Molar ratio] in Dried blood spot,Tdecenoylcarn/C12:1 DBS-sRto,Chem,3000
53193-9,Tetradecenoylcarnitine (C14:1)/Acetylcarnitine (C2) [Molar ratio] in Dried blood spot,Tdecenoylcarn/C2 DBS-sRto,Chem,3000
53191-3,Tetradecenoylcarnitine (C14:1) [Moles/volume] in Dried blood spot,Tdecenoylcarn DBS-sCnc,Chem,3000
53192-1,Tetradecanoylcarnitine (C14) [Moles/volume] in Dried blood spot,Tdecanoylcarn DBS-sCnc,Chem,3000
53190-5,Tetradecadienoylcarnitine (C14:2) [Moles/volume] in Dried blood spot,Tdecadienoylcarn DBS-sCnc,Chem,3000
62320-7,T-cell receptor excision circle [#/volume] in Dried blood spot by Probe and target amplification method,TREC # DBS PCR,Chem,3000
53231-7,Succinylacetone [Moles/volume] in Dried blood spot,Succinylacetone DBS-sCnc,Chem,3000
53241-6,Stearoylcarnitine (C18) [Moles/volume] in Dried blood spot,Stearoylcarn DBS-sCnc,Chem,3000
64118-3,Second most predominant hemoglobin in Dried blood spot,2nd most predominant Hb DBS,Chem,3000
68326-8,Reptilase time actual/?Normal,Reptilase time/normal,COAG,3000
6683-7,Reptilase time,Reptilase time,COAG,3000
5894-1,Prothrombin time (PT) actual/?Normal,Prothrombin time/nomal,COAG,3000
75211-3,Propionylcarnitine (C3)+Palmitoylcarnitine (C16) [Moles/volume] in Dried blood spot,C3+C16 DBS-sCnc,Chem,3000
53164-0,Propionylcarnitine (C3)/Palmitoylcarnitine (C16) [Molar ratio] in Dried blood spot,Propionylcarn/C16 DBS-sRto,Chem,3000
53162-4,Propionylcarnitine (C3)/Carnitine.free (C0) [Molar ratio] in Dried blood spot,Propionylcarn/C0 DBS-sRto,Chem,3000
53163-2,Propionylcarnitine (C3)/Acetylcarnitine (C2) [Molar ratio] in Dried blood spot,Propionylcarn/C2 DBS-sRto,Chem,3000
53160-8,Propionylcarnitine (C3) [Moles/volume] in Dried blood spot,Propionylcarn DBS-sCnc,Chem,3000
53199-6,Palmitoylcarnitine (C16) [Moles/volume] in Dried blood spot,Palmitoylcarn DBS-sCnc,Chem,3000
53198-8,Palmitoleylcarnitine (C16:1) [Moles/volume] in Dried blood spot,Palmitoleylcarn DBS-sCnc,Chem,3000
73696-7,Oxygen saturation.preductal-oxygen saturation.postductal [Mass fraction difference] in Bld.preductal and Bld.postductal,SaO2%.pre-post MFrDiff Bld.pre+post,Chem,3000
59407-7,Oxygen saturation in Blood Preductal by Pulse oximetry,SaO2 % Bld Preductal PulseOx,Chem,3000
59418-4,Oxygen saturation in Blood Postductal by Pulse oximetry,SaO2 % Bld Postductal PulseOx,Chem,3000
53202-8,Oleoylcarnitine (C18:1) [Moles/volume] in Dried blood spot,Oleoylcarn DBS-sCnc,Chem,3000
53177-2,Octanoylcarnitine (C8)/Decanoylcarnitine (C10) [Molar ratio] in Dried blood spot,Octanoylcarn/C10 DBS-sRto,Chem,3000
53176-4,Octanoylcarnitine (C8)/Acetylcarnitine (C2) [Molar ratio] in Dried blood spot,Octanoylcarn/C2 DBS-sRto,Chem,3000
53175-6,Octanoylcarnitine (C8) [Moles/volume] in Dried blood spot,Octanoylcarn DBS-sCnc,Chem,3000
73967-2,Noninvasive prenatal fetal aneuploidy test panel - Plasma cell-free DNA,NPT fetal anpldy Pnl Plas.cfDNA,PANEL.MOLPATH,3000
75547-0,Noninvasive prenatal fetal aneuploidy and microdeletion panel based on Plasma cell-free+WBC DNA by Dosage of chromosome-specific circulating cell free (ccf) DNA,NIP aneu microdel pnl WBC.DNA+cfDNA,PANEL.MOLPATH,3000
77019-8,Noninvasive prenatal fetal 18 and 21 aneuploidy panel - Plasma cell-free DNA by Sequencing ,Noninv fet 18+21 aneu pnl Plas.cfDNA Seq,PANEL.MOLPATH,3000
77018-0,Noninvasive prenatal fetal 13 and 18 and 21 aneuploidy panel - Plasma cell-free DNA by Sequencing ,Noninv fet 13+18+21 aneu pnl cfDNA seq,PANEL.MOLPATH,3000
54109-4,Newborn hearing screen of Ear - right,NB hearing scn Ear-R,Chem,3000
54108-6,Newborn hearing screen of Ear - left,NB hearing scn Ear-L,Chem,3000
54106-0,Newborn hearing screen method,NB hearing scn meth,Chem,3000
43384-7,Neisseria sp identified in Urethra by Organism specific culture,Neisseria Urth Cult,MICRO,3000
80369-2,Neisseria sp identified in Rectum by Organism specific culture,Neisseria Rectum Cult,MICRO,3000
80366-8,Neisseria gonorrhoeae rRNA [Presence] in Rectum by Probe and target amplification method,N gonorrhoea rRNA Rectum Ql PCR,MICRO,3000
57289-1,Neisseria gonorrhoeae rRNA [Presence] in Nasopharynx by Probe and target amplification method,N gonorrhoea rRNA Nph Ql PCR,MICRO,3000
21415-5,Neisseria gonorrhoeae DNA [Presence] in Urethra by Probe and target amplification method,N gonorrhoea DNA Urth Ql PCR,MICRO,3000
53879-3,Neisseria gonorrhoeae Ag [Presence] in Urethra,N gonorrhoea rRNA Vag Ql PCR,MICRO,3000
32705-6,Neisseria gonorrhoeae Ag [Presence] in Genital specimen,N gonorrhoea DNA Vag Ql PCR,MICRO,3000
693-2,Neisseria gonorrhoeae [Presence] in Vaginal fluid by Organism specific culture,N gonorrhoea Vag Ql Cult,MICRO,3000
697-3,Neisseria gonorrhoeae [Presence] in Urethra by Organism specific culture,N gonorrhoea Urth Ql Cult,MICRO,3000
80368-4,Neisseria gonorrhoeae [Presence] in Rectum by Organism specific culture,N gonorrhoea Rectum Ql Cult,MICRO,3000
30099-6,Neisseria gonorrhoeae [Presence] in Conjunctival specimen by Organism specific culture,N gonorrhoea Conjunct Ql Cult,MICRO,3000
688-2,Neisseria gonorrhoeae [Presence] in Cervix by Organism specific culture,N gonorrhoea Cvx Ql Cult,MICRO,3000
64117-5,Most predominant hemoglobin in Dried blood spot,Most predominant Hb DBS,Chem,3000
67709-6,Methylmalonylcarnitine (C4-DC)+3-Hydroxyisovalerylcarnitine (C5-OH) [Moles/volume] in Dried blood spot,C4-DC+C5-OH DBS-sCnc,Chem,3000
53181-4,Methylmalonylcarnitine (C4-DC)/3-Hydroxyisovalerylcarnitine (C5-OH) [Molar ratio] in Dried blood spot,Me-malonylcarn/C5OH DBS-sRto,Chem,3000
45222-7,Methylmalonylcarnitine (C4-DC) [Moles/volume] in Dried blood spot,Me-malonylcarn DBS-sCnc,Chem,3000
53187-1,Methylglutarylcarnitine (C6-DC) [Moles/volume] in Dried blood spot,MeGlutarylcarn DBS-sCnc,Chem,3000
53156-6,Methionine/Phenylalanine [Molar ratio] in Dried blood spot,Methionine/Phe DBS-sRto,Chem,3000
53397-6,Methionine/Alloisoleucine+Isoleucine+Leucine+Hydroxyproline [Molar ratio] in Dried blood spot,Methionine/Aile+Ile+Leu+Hyp DBS-sRto,Chem,3000
47700-0,Methionine [Moles/volume] in Dried blood spot,Methionine DBS-sCnc,Chem,3000
45217-7,Linoleoylcarnitine (C18:2) [Moles/volume] in Dried blood spot,Linoleoylcarn DBS-sCnc,Chem,3000
53240-8,Isovalerylcarnitine+Methylbutyrylcarnitine (C5)/Propionylcarnitine (C3) [Molar ratio] in Dried blood spot,Isovaleryl+MeButyrylcarn/C3 DBS-sRto,Chem,3000
53401-6,Isovalerylcarnitine+Methylbutyrylcarnitine (C5)/Octanoylcarnitine (C8) [Molar ratio] in Dried blood spot,Isovaleryl+MeButyrylcarn/C8 DBS-sRto,Chem,3000
53238-2,Isovalerylcarnitine+Methylbutyrylcarnitine (C5)/Carnitine.free (C0) [Molar ratio] in Dried blood spot,Isovaleryl+MeButyrylcarn/C0 DBS-sRto,Chem,3000
53239-0,Isovalerylcarnitine+Methylbutyrylcarnitine (C5)/Acetylcarnitine (C2) [Molar ratio] in Dried blood spot,Isovaleryl+MeButyrylcarn/C2 DBS-sRto,Chem,3000
45216-9,Isovalerylcarnitine+Methylbutyrylcarnitine (C5) [Moles/volume] in Dried blood spot,Isovaleryl+MeButyrylcarn DBS-sCnc,Chem,3000
45211-0,Hexanoylcarnitine (C6) [Moles/volume] in Dried blood spot,Hexanoylcarn DBS-sCnc,Chem,3000
64122-5,Hemoglobins that can be presumptively identified based on available controls in Dried blood spot,Hb pres ID based on avail contr DBS,Chem,3000
67701-3,Glutarylcarnitine (C5-DC)+3-Hydroxyhexanoylcarnitine (C6-OH)/Palmitoylcarnitine (C16) [Molar ratio] in Dried blood spot,Glut+3OHhexanoylcarn/C16 DBS-sRto,Chem,3000
67711-2,Glutarylcarnitine (C5-DC)+3-Hydroxyhexanoylcarnitine (C6-OH)/Octanoylcarnitine (C8) [Molar ratio] in Dried blood spot,Glut+3OHhexanoylcarn/C8 DBS-sRto,Chem,3000
67710-4,Glutarylcarnitine (C5-DC)+3-Hydroxyhexanoylcarnitine (C6-OH) [Moles/volume] in Dried blood spot,Glut+3OHhexanoylcarn DBS-sCnc,Chem,3000
53186-3,Glutarylcarnitine (C5-DC)+3-Hydroxydecanoylcarnitine (C10-OH)/Palmitoylcarnitine (C16) [Molar ratio] in Dried blood spot,Glut+3OHdecanoylcarn/C16 DBS-sRto,Chem,3000
53185-5,Glutarylcarnitine (C5-DC)+3-Hydroxydecanoylcarnitine (C10-OH)/Octanoylcarnitine (C8) [Molar ratio] in Dried blood spot,Glut+3OHdecanoylcarn/C8 DBS-sRto,Chem,3000
53403-2,Glutarylcarnitine (C5-DC)+3-Hydroxydecanoylcarnitine (C10-OH)/Butyrylcarnitine+Isobutyrylcarnitine (C4) [Molar ratio] in Dried blood spot,Glut+3OHdecanoylcarn/C4 DBS-sRto,Chem,3000
53184-8,Glutarylcarnitine (C5-DC)+3-Hydroxydecanoylcarnitine (C10-OH)/3-Hydroxyisovalerylcarnitine (C5-OH) [Molar ratio] in Dried blood spot,Glut+3OHdecanoylcarn/C5OH DBS-sRto,Chem,3000
53183-0,Glutarylcarnitine (C5-DC)+3-Hydroxydecanoylcarnitine (C10-OH) [Moles/volume] in Dried blood spot,Glut+3OHdecanoylcarn DBS-sCnc,Chem,3000
33288-2,Galactose 1 phosphate uridyl transferase [Presence] in Dried blood spot,Gal1PUT DBS Ql,Chem,3000
42906-8,Galactose 1 phosphate uridyl transferase [Enzymatic activity/volume] in Dried blood spot,Gal1PUT DBS-cCnc,Chem,3000
54084-9,Galactose [Mass/volume] in Dried blood spot,Galactose DBS-mCnc,Chem,3000
64120-9,Fourth most predominant hemoglobin in Dried blood spot,4th most predominant Hb DBS,Chem,3000
64121-7,Fifth most predominant hemoglobin in Dried blood spot,5th most predominant Hb DBS,Chem,3000
50410-0,dRVVT/?dRVVT W excess phospholipid (screen to confirm ratio),dRVVT screen to confirm ratio,COAG,3000
75512-4,dRVVT with 1:1 PNP actual/?normal (normalized LA mix),Mixing dRVVT/normal,COAG,3000
75511-6,dRVVT W excess phospholipid percent correction,dRVVT % correction,COAG,3000
68916-6,dRVVT W excess phospholipid actual/?normal (normalized LA confirm),Confirm dRVVT/normal,COAG,3000
57838-5,dRVVT W excess phospholipid (LA confirm),Confirm dRVVT,COAG,3000
45200-3,Dodecenoylcarnitine (C12:1) [Moles/volume] in Dried blood spot,Dodecenoylcarn DBS-sCnc,Chem,3000
45199-7,Dodecanoylcarnitine (C12) [Moles/volume] in Dried blood spot,Dodecanoylcarn DBS-sCnc,Chem,3000
45198-9,Decenoylcarnitine (C10:1) [Moles/volume] in Dried blood spot,Decenoylcarn DBS-sCnc,Chem,3000
45197-1,Decanoylcarnitine (C10) [Moles/volume] in Dried blood spot,Decanoylcarn DBS-sCnc,Chem,3000
53345-5,Cortisol [Mass/volume] in Dried blood spot,Cortis DBS-mCnc,Chem,3000
53399-2,Citrulline/Tyrosine [Molar ratio] in Dried blood spot,Citrulline/Tyr DBS-sRto,Chem,3000
53157-4,Citrulline/Phenylalanine [Molar ratio] in Dried blood spot,Citrulline/Phe DBS-sRto,Chem,3000
54092-2,Citrulline/Arginine [Molar ratio] in Dried blood spot,Citrulline/Arginine DBS-sRto,Chem,3000
42892-0,Citrulline [Moles/volume] in Dried blood spot,Citrulline DBS-sCnc,Chem,3000
80362-7,Chlamydia trachomatis+Neisseria gonorrhoeae rRNA [Presence] in Vaginal fluid by Probe and target amplification method,C trach+GC rRNA Vag Ql PCR,MICRO,3000
80360-1,Chlamydia trachomatis+Neisseria gonorrhoeae rRNA [Presence] in Urine by Probe and target amplification method,C trach+GC rRNA Ur Ql PCR,MICRO,3000
80365-0,Chlamydia trachomatis+Neisseria gonorrhoeae rRNA [Presence] in Rectum by Probe and target amplification method,C trach+GC rRNA Rectum Ql PCR,MICRO,3000
80361-9,Chlamydia trachomatis+Neisseria gonorrhoeae rRNA [Presence] in Cervix by Probe and target amplification method,C trach+GC rRNA Cvx Ql PCR,MICRO,3000
70164-9,Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Presence] in Urine by Probe and target amplification method,C trach+GC pnl Vag PCR,PANEL.MICRO,3000
53926-2,Chlamydia trachomatis rRNA [Presence] in Vaginal fluid by Probe and target amplification method,C trach rRNA Vag Ql PCR,MICRO,3000
80364-3,Chlamydia trachomatis rRNA [Presence] in Rectum by Probe and target amplification method,C trach rRNA Rectum Ql PCR,MICRO,3000
57288-3,Chlamydia trachomatis rRNA [Presence] in Nasopharynx by Probe and target amplification method,C trach rRNA Nph Ql PCR,MICRO,3000
80363-5,Chlamydia trachomatis DNA [Presence] in Rectum by Probe and target amplification method,C trach DNA Rectum Ql PCR,MICRO,3000
45086-6,Chlamydia trachomatis DNA [Presence] in Nasopharynx by Probe and target amplification method,C trach DNA Nph Ql PCR,MICRO,3000
45084-1,Chlamydia trachomatis and Neisseria gonorrhoeae rRNA panel - Vaginal fluid by Probe and target amplification method,C trach DNA Vag Ql PCR,MICRO,3000
6351-1,Chlamydia trachomatis Ag [Presence] in Conjunctival specimen by Immunofluorescence,C trach Ag Conjunct Ql IF,MICRO,3000
